Område;Delområde;år;Højst fuldførte uddannelse;Aldersinterval;Antal personer
Ørestad;Ørestad City;2022;10 Grundskole;0-15;132
Ørestad;Ørestad City;2022;90 Uoplyst;0-15;1331
Ørestad;Ørestad City;2022;10 Grundskole;15-24;395
Ørestad;Ørestad City;2022;20 Gymnasiale uddannelser;15-24;1132
Ørestad;Ørestad City;2022;30 Erhvervsfaglige uddannelser og 35 Adgangs;15-24;99
Ørestad;Ørestad City;2022;40 Korte videregående uddannelser; KVU;15-24;65
Ørestad;Ørestad City;2022;50 Mellemlange videregående uddannelser; MVU;15-24;73
Ørestad;Ørestad City;2022;60 Bacheloruddannelser; BACH;15-24;201
Ørestad;Ørestad City;2022;70 Lange videregående uddannelser; LVU og 80;15-24;20
Ørestad;Ørestad City;2022;90 Uoplyst;15-24;18
Ørestad;Ørestad City;2022;10 Grundskole;25-34;183
Ørestad;Ørestad City;2022;20 Gymnasiale uddannelser;25-34;368
Ørestad;Ørestad City;2022;30 Erhvervsfaglige uddannelser og 35 Adgangs;25-34;240
Ørestad;Ørestad City;2022;40 Korte videregående uddannelser; KVU;25-34;174
Ørestad;Ørestad City;2022;50 Mellemlange videregående uddannelser; MVU;25-34;652
Ørestad;Ørestad City;2022;60 Bacheloruddannelser; BACH;25-34;293
Ørestad;Ørestad City;2022;70 Lange videregående uddannelser; LVU og 80;25-34;1028
Ørestad;Ørestad City;2022;90 Uoplyst;25-34;38
Ørestad;Ørestad City;2022;10 Grundskole;35-44;123
Ørestad;Ørestad City;2022;20 Gymnasiale uddannelser;35-44;109
Ørestad;Ørestad City;2022;30 Erhvervsfaglige uddannelser og 35 Adgangs;35-44;204
Ørestad;Ørestad City;2022;40 Korte videregående uddannelser; KVU;35-44;91
Ørestad;Ørestad City;2022;50 Mellemlange videregående uddannelser; MVU;35-44;315
Ørestad;Ørestad City;2022;60 Bacheloruddannelser; BACH;35-44;43
Ørestad;Ørestad City;2022;70 Lange videregående uddannelser; LVU og 80;35-44;618
Ørestad;Ørestad City;2022;90 Uoplyst;35-44;34
Ørestad;Ørestad City;2022;10 Grundskole;45-54;84
Ørestad;Ørestad City;2022;20 Gymnasiale uddannelser;45-54;52
Ørestad;Ørestad City;2022;30 Erhvervsfaglige uddannelser og 35 Adgangs;45-54;178
Ørestad;Ørestad City;2022;40 Korte videregående uddannelser; KVU;45-54;81
Ørestad;Ørestad City;2022;50 Mellemlange videregående uddannelser; MVU;45-54;137
Ørestad;Ørestad City;2022;60 Bacheloruddannelser; BACH;45-54;30
Ørestad;Ørestad City;2022;70 Lange videregående uddannelser; LVU og 80;45-54;203
Ørestad;Ørestad City;2022;90 Uoplyst;45-54;29
Ørestad;Ørestad City;2022;10 Grundskole;55-64;58
Ørestad;Ørestad City;2022;20 Gymnasiale uddannelser;55-64;46
Ørestad;Ørestad City;2022;30 Erhvervsfaglige uddannelser og 35 Adgangs;55-64;99
Ørestad;Ørestad City;2022;40 Korte videregående uddannelser; KVU;55-64;25
Ørestad;Ørestad City;2022;50 Mellemlange videregående uddannelser; MVU;55-64;66
Ørestad;Ørestad City;2022;60 Bacheloruddannelser; BACH;55-64;8
Ørestad;Ørestad City;2022;70 Lange videregående uddannelser; LVU og 80;55-64;56
Ørestad;Ørestad City;2022;90 Uoplyst;55-64;8
Ørestad;Ørestad City;2022;10 Grundskole;65+;51
Ørestad;Ørestad City;2022;30 Erhvervsfaglige uddannelser og 35 Adgangs;65+;96
Ørestad;Ørestad City;2022;40 Korte videregående uddannelser; KVU;65+;18
Ørestad;Ørestad City;2022;50 Mellemlange videregående uddannelser; MVU;65+;53
Ørestad;Ørestad City;2022;70 Lange videregående uddannelser; LVU og 80;65+;45
Ørestad;Ørestad City;2022;90 Uoplyst;65+;15
Ørestad;Ørestad City;2022;Diskretioneret;65+;24
